bd_no,max_depth,subsample,colsample_bytree,best_num_boost_round,test-SMAPE-mean
1,3,0.6,0.6,1667,9.0625641
1,3,0.6,0.8,1456,9.042242300000002
1,3,0.8,0.6,1666,9.0320529
1,3,0.8,0.8,1664,9.0922322
1,5,0.6,0.6,917,9.035888099999998
1,5,0.6,0.8,917,9.0649205
1,5,0.8,0.6,1472,8.941449299999999
1,5,0.8,0.8,972,9.0274941
1,7,0.6,0.6,1281,9.1446767
1,7,0.6,0.8,1316,9.1350559
1,7,0.8,0.6,1307,9.1078894
1,7,0.8,0.8,1210,9.141861299999999
2,3,0.6,0.6,922,10.6741129
2,3,0.6,0.8,880,10.724208
2,3,0.8,0.6,1355,10.6186446
2,3,0.8,0.8,1056,10.666124100000001
2,5,0.6,0.6,872,10.289345999999998
2,5,0.6,0.8,873,10.2978603
2,5,0.8,0.6,939,10.232811199999999
2,5,0.8,0.8,945,10.3094413
2,7,0.6,0.6,822,10.495976000000002
2,7,0.6,0.8,889,10.533100900000003
2,7,0.8,0.6,1086,10.5816308
2,7,0.8,0.8,869,10.6940988
3,3,0.6,0.6,567,15.844612999999999
3,3,0.6,0.8,563,15.808280300000002
3,3,0.8,0.6,663,15.739212999999998
3,3,0.8,0.8,726,15.6629911
3,5,0.6,0.6,482,15.622475499999998
3,5,0.6,0.8,518,15.603745400000003
3,5,0.8,0.6,477,15.705442300000001
3,5,0.8,0.8,531,15.8362711
3,7,0.6,0.6,511,15.634871200000001
3,7,0.6,0.8,540,15.781736100000003
3,7,0.8,0.6,498,15.7291256
3,7,0.8,0.8,659,16.0791909
4,3,0.6,0.6,694,5.619148300000001
4,3,0.6,0.8,683,5.6069264
4,3,0.8,0.6,695,5.6347518
4,3,0.8,0.8,690,5.599592800000001
4,5,0.6,0.6,645,5.7714597
4,5,0.6,0.8,692,5.7509643
4,5,0.8,0.6,653,5.797408
4,5,0.8,0.8,723,5.8775468
4,7,0.6,0.6,748,5.8838954
4,7,0.6,0.8,692,5.933506799999999
4,7,0.8,0.6,698,5.9451348
4,7,0.8,0.8,695,5.983803199999999
5,3,0.6,0.6,662,14.818639899999999
5,3,0.6,0.8,559,14.9060898
5,3,0.8,0.6,672,14.897047700000002
5,3,0.8,0.8,547,15.108431000000001
5,5,0.6,0.6,945,12.8221711
5,5,0.6,0.8,706,12.8850641
5,5,0.8,0.6,823,13.021466099999998
5,5,0.8,0.8,793,13.020199
5,7,0.6,0.6,1149,12.5021737
5,7,0.6,0.8,916,12.292435899999997
5,7,0.8,0.6,1242,12.530331900000002
5,7,0.8,0.8,840,12.447265699999999
6,3,0.6,0.6,646,5.343670400000001
6,3,0.6,0.8,645,5.3866942
6,3,0.8,0.6,616,5.3765087000000005
6,3,0.8,0.8,717,5.4086624
6,5,0.6,0.6,769,5.460815200000001
6,5,0.6,0.8,760,5.5125511000000005
6,5,0.8,0.6,739,5.4722216
6,5,0.8,0.8,786,5.559763599999999
6,7,0.6,0.6,865,5.5183918
6,7,0.6,0.8,893,5.6498624
6,7,0.8,0.6,859,5.5399069999999995
6,7,0.8,0.8,895,5.725955300000001
7,3,0.6,0.6,344,12.698961800000001
7,3,0.6,0.8,380,12.405581899999998
7,3,0.8,0.6,354,12.7272799
7,3,0.8,0.8,363,12.468172200000001
7,5,0.6,0.6,343,11.7159584
7,5,0.6,0.8,346,11.4243922
7,5,0.8,0.6,313,11.8672217
7,5,0.8,0.8,327,11.4837638
7,7,0.6,0.6,323,11.689137800000001
7,7,0.6,0.8,345,11.244474599999998
7,7,0.8,0.6,320,11.7782566
7,7,0.8,0.8,340,11.3248543
8,3,0.6,0.6,883,6.0810606
8,3,0.6,0.8,816,6.1053869999999995
8,3,0.8,0.6,825,6.1152894
8,3,0.8,0.8,879,6.1441245
8,5,0.6,0.6,710,6.2643077
8,5,0.6,0.8,723,6.3180701
8,5,0.8,0.6,710,6.354357899999999
8,5,0.8,0.8,668,6.3955205
8,7,0.6,0.6,710,6.3940920000000006
8,7,0.6,0.8,628,6.4788348
8,7,0.8,0.6,705,6.5160055
8,7,0.8,0.8,671,6.532208300000001
9,3,0.6,0.6,1039,5.126827799999999
9,3,0.6,0.8,1026,5.0088137
9,3,0.8,0.6,1339,5.042117599999999
9,3,0.8,0.8,1045,4.9558559
9,5,0.6,0.6,1273,5.2348711
9,5,0.6,0.8,1224,5.1843199
9,5,0.8,0.6,1080,5.2246494
9,5,0.8,0.8,1122,5.1583027
9,7,0.6,0.6,1171,5.286931500000001
9,7,0.6,0.8,1023,5.3306916
9,7,0.8,0.6,1314,5.3647678999999995
9,7,0.8,0.8,1245,5.3439732000000015
10,3,0.6,0.6,1201,7.504001199999999
10,3,0.6,0.8,1545,7.5477452
10,3,0.8,0.6,1595,7.465396699999999
10,3,0.8,0.8,1254,7.645710500000002
10,5,0.6,0.6,914,7.4849129
10,5,0.6,0.8,1091,7.670553700000001
10,5,0.8,0.6,973,7.5538662
10,5,0.8,0.8,829,7.884070400000001
10,7,0.6,0.6,1076,7.511739400000001
10,7,0.6,0.8,966,7.6323346
10,7,0.8,0.6,1076,7.6328496999999995
10,7,0.8,0.8,1078,7.8731200999999995
11,3,0.6,0.6,1044,4.557663699999999
11,3,0.6,0.8,1125,4.5784400000000005
11,3,0.8,0.6,1014,4.5390952
11,3,0.8,0.8,1107,4.5903689
11,5,0.6,0.6,1088,4.6752039
11,5,0.6,0.8,858,4.7390384
11,5,0.8,0.6,1064,4.648589399999999
11,5,0.8,0.8,944,4.780220900000001
11,7,0.6,0.6,1033,4.7554155
11,7,0.6,0.8,921,4.8037087
11,7,0.8,0.6,868,4.7646227
11,7,0.8,0.8,943,4.9142253
12,3,0.6,0.6,726,5.903285500000001
12,3,0.6,0.8,665,6.068984200000001
12,3,0.8,0.6,679,5.981125400000001
12,3,0.8,0.8,684,6.100304599999999
12,5,0.6,0.6,898,6.0440881
12,5,0.6,0.8,716,6.168109299999999
12,5,0.8,0.6,854,6.112368200000001
12,5,0.8,0.8,793,6.3018786
12,7,0.6,0.6,772,6.0810972
12,7,0.6,0.8,908,6.1988259999999995
12,7,0.8,0.6,858,6.1572935
12,7,0.8,0.8,846,6.2947818
13,3,0.6,0.6,488,8.1765054
13,3,0.6,0.8,478,8.3877921
13,3,0.8,0.6,467,8.147500299999999
13,3,0.8,0.8,480,8.405614400000001
13,5,0.6,0.6,493,8.761612199999998
13,5,0.6,0.8,497,9.0099132
13,5,0.8,0.6,488,8.713135099999999
13,5,0.8,0.8,492,8.9809878
13,7,0.6,0.6,589,9.0079601
13,7,0.6,0.8,555,9.3487878
13,7,0.8,0.6,545,9.043459
13,7,0.8,0.8,560,9.293304
14,3,0.6,0.6,423,16.9977575
14,3,0.6,0.8,432,17.054825899999997
14,3,0.8,0.6,449,17.026718999999996
14,3,0.8,0.8,423,17.2246508
14,5,0.6,0.6,435,17.420456700000003
14,5,0.6,0.8,421,17.7076885
14,5,0.8,0.6,436,17.4749536
14,5,0.8,0.8,423,17.7466939
14,7,0.6,0.6,480,17.6456064
14,7,0.6,0.8,528,18.005482699999998
14,7,0.8,0.6,518,17.6545546
14,7,0.8,0.8,510,18.0832882
15,3,0.6,0.6,1691,4.5132188
15,3,0.6,0.8,2408,4.509993499999999
15,3,0.8,0.6,1426,4.590655
15,3,0.8,0.8,4007,4.5139403
15,5,0.6,0.6,1508,4.3384990000000005
15,5,0.6,0.8,1708,4.4752963999999995
15,5,0.8,0.6,2459,4.391022599999999
15,5,0.8,0.8,2257,4.5092262
15,7,0.6,0.6,1424,4.3619875
15,7,0.6,0.8,1193,4.516823499999999
15,7,0.8,0.6,1262,4.4177669
15,7,0.8,0.8,1027,4.5357597
16,3,0.6,0.6,827,6.8075604
16,3,0.6,0.8,822,6.6928247
16,3,0.8,0.6,932,6.7977519
16,3,0.8,0.8,781,6.736038499999999
16,5,0.6,0.6,808,6.644367099999999
16,5,0.6,0.8,798,6.4638689
16,5,0.8,0.6,756,6.671898400000001
16,5,0.8,0.8,784,6.5091734
16,7,0.6,0.6,781,6.7295815
16,7,0.6,0.8,816,6.5765084
16,7,0.8,0.6,818,6.8627731999999995
16,7,0.8,0.8,898,6.577230500000001
17,3,0.6,0.6,722,7.562912200000001
17,3,0.6,0.8,484,7.295011499999999
17,3,0.8,0.6,640,7.609304799999999
17,3,0.8,0.8,497,7.342550299999999
17,5,0.6,0.6,633,7.113966799999998
17,5,0.6,0.8,555,6.6509222999999995
17,5,0.8,0.6,863,7.1670886
17,5,0.8,0.8,535,6.623309600000001
17,7,0.6,0.6,874,7.359969700000001
17,7,0.6,0.8,638,6.6643971
17,7,0.8,0.6,843,7.5635786
17,7,0.8,0.8,619,6.646732499999999
18,3,0.6,0.6,562,6.724867900000001
18,3,0.6,0.8,563,6.8891102
18,3,0.8,0.6,560,6.776612299999999
18,3,0.8,0.8,542,6.9917256
18,5,0.6,0.6,665,6.3755690000000005
18,5,0.6,0.8,716,6.3826324
18,5,0.8,0.6,592,6.2938852999999995
18,5,0.8,0.8,672,6.431081600000001
18,7,0.6,0.6,739,6.3787883999999995
18,7,0.6,0.8,798,6.440781200000001
18,7,0.8,0.6,815,6.362126399999999
18,7,0.8,0.8,819,6.522274899999999
19,3,0.6,0.6,911,6.2760066000000005
19,3,0.6,0.8,975,6.3637856
19,3,0.8,0.6,1139,6.2765501
19,3,0.8,0.8,913,6.383596000000001
19,5,0.6,0.6,984,6.006447400000001
19,5,0.6,0.8,920,6.0165226
19,5,0.8,0.6,794,5.9070354
19,5,0.8,0.8,769,6.04136
19,7,0.6,0.6,920,6.118034799999999
19,7,0.6,0.8,831,6.123023099999999
19,7,0.8,0.6,1321,6.0560601
19,7,0.8,0.8,966,6.154953000000001
20,3,0.6,0.6,1353,6.907028100000001
20,3,0.6,0.8,924,6.5024456000000015
20,3,0.8,0.6,1469,6.9208956
20,3,0.8,0.8,787,6.4907392
20,5,0.6,0.6,1032,6.639917000000001
20,5,0.6,0.8,583,5.7412574
20,5,0.8,0.6,776,6.749725
20,5,0.8,0.8,610,5.7706278
20,7,0.6,0.6,962,7.107237700000001
20,7,0.6,0.8,640,5.7940599
20,7,0.8,0.6,1389,7.2902164
20,7,0.8,0.8,660,5.882698100000001
21,3,0.6,0.6,970,8.200731099999999
21,3,0.6,0.8,804,8.1642945
21,3,0.8,0.6,940,8.1719037
21,3,0.8,0.8,874,8.1856568
21,5,0.6,0.6,939,7.8598527
21,5,0.6,0.8,742,7.853791600000001
21,5,0.8,0.6,874,7.766322699999999
21,5,0.8,0.8,1124,7.772943499999999
21,7,0.6,0.6,829,7.868400800000001
21,7,0.6,0.8,883,7.818079899999999
21,7,0.8,0.6,872,7.846789200000001
21,7,0.8,0.8,876,7.823342199999999
22,3,0.6,0.6,523,4.7282571
22,3,0.6,0.8,521,4.8711985
22,3,0.8,0.6,488,4.7458039
22,3,0.8,0.8,509,4.8410374
22,5,0.6,0.6,539,4.7540461
22,5,0.6,0.8,593,4.8920703
22,5,0.8,0.6,539,4.7954017
22,5,0.8,0.8,565,4.9201287
22,7,0.6,0.6,601,4.8209272
22,7,0.6,0.8,638,4.9374048
22,7,0.8,0.6,608,4.8327998
22,7,0.8,0.8,617,4.9710787000000005
23,3,0.6,0.6,1061,2.9347042
23,3,0.6,0.8,776,2.8409487
23,3,0.8,0.6,924,2.9966004
23,3,0.8,0.8,933,2.9126083999999994
23,5,0.6,0.6,845,2.7604968
23,5,0.6,0.8,807,2.6204483
23,5,0.8,0.6,893,2.7656096
23,5,0.8,0.8,777,2.6338931
23,7,0.6,0.6,907,2.8018456
23,7,0.6,0.8,900,2.6019672999999996
23,7,0.8,0.6,862,2.8036594
23,7,0.8,0.8,913,2.6476913000000004
24,3,0.6,0.6,1738,3.6587402999999994
24,3,0.6,0.8,1740,3.7089487999999995
24,3,0.8,0.6,1755,3.6785045
24,3,0.8,0.8,2049,3.6900756
24,5,0.6,0.6,1118,3.6489953
24,5,0.6,0.8,1119,3.6750242
24,5,0.8,0.6,1172,3.6345365000000003
24,5,0.8,0.8,1202,3.65972
24,7,0.6,0.6,1029,3.7353049
24,7,0.6,0.8,1168,3.7565033000000008
24,7,0.8,0.6,1161,3.7409542
24,7,0.8,0.8,1179,3.7462688
25,3,0.6,0.6,874,3.1761947000000004
25,3,0.6,0.8,897,3.103519
25,3,0.8,0.6,918,3.1605551
25,3,0.8,0.8,897,3.1070991
25,5,0.6,0.6,729,2.9690951
25,5,0.6,0.8,841,2.8243484999999997
25,5,0.8,0.6,723,3.0240054
25,5,0.8,0.8,816,2.8510912999999998
25,7,0.6,0.6,940,3.0462642
25,7,0.6,0.8,1001,2.823116
25,7,0.8,0.6,840,3.0654067
25,7,0.8,0.8,972,2.8582058999999997
26,3,0.6,0.6,1404,4.2480038
26,3,0.6,0.8,1138,4.224663799999999
26,3,0.8,0.6,1401,4.2592953
26,3,0.8,0.8,1308,4.263313500000001
26,5,0.6,0.6,647,4.0303777
26,5,0.6,0.8,875,3.9503278
26,5,0.8,0.6,676,4.085113099999999
26,5,0.8,0.8,724,4.0100717
26,7,0.6,0.6,724,4.047131800000001
26,7,0.6,0.8,840,3.9404953999999996
26,7,0.8,0.6,735,4.1261659
26,7,0.8,0.8,886,4.017861099999999
27,3,0.6,0.6,1820,3.1240474000000003
27,3,0.6,0.8,1548,3.1508745
27,3,0.8,0.6,2248,3.143101
27,3,0.8,0.8,1767,3.1776168
27,5,0.6,0.6,1568,3.0613155
27,5,0.6,0.8,1432,3.0953832
27,5,0.8,0.6,1630,3.1152053
27,5,0.8,0.8,1226,3.0866806
27,7,0.6,0.6,1544,3.1147207000000003
27,7,0.6,0.8,1441,3.1070219999999997
27,7,0.8,0.6,1569,3.1445562999999996
27,7,0.8,0.8,1477,3.1576169999999997
28,3,0.6,0.6,322,8.151250399999999
28,3,0.6,0.8,322,8.4064662
28,3,0.8,0.6,320,8.208933300000002
28,3,0.8,0.8,334,8.4511072
28,5,0.6,0.6,336,7.7338299999999975
28,5,0.6,0.8,344,8.056663400000001
28,5,0.8,0.6,327,7.7280404
28,5,0.8,0.8,357,8.0185119
28,7,0.6,0.6,344,7.7824653999999995
28,7,0.6,0.8,362,8.048741300000001
28,7,0.8,0.6,345,7.802621500000001
28,7,0.8,0.8,366,7.9996893
29,3,0.6,0.6,543,5.5057773999999995
29,3,0.6,0.8,543,5.5214278
29,3,0.8,0.6,563,5.555690999999999
29,3,0.8,0.8,531,5.5789381
29,5,0.6,0.6,670,5.425877099999999
29,5,0.6,0.8,673,5.4657978
29,5,0.8,0.6,666,5.4896276
29,5,0.8,0.8,669,5.5627674
29,7,0.6,0.6,670,5.4690952
29,7,0.6,0.8,672,5.4749464
29,7,0.8,0.6,673,5.5983049000000005
29,7,0.8,0.8,693,5.532347
30,3,0.6,0.6,532,8.3950965
30,3,0.6,0.8,509,8.304869700000001
30,3,0.8,0.6,636,8.377562800000002
30,3,0.8,0.8,655,8.2471123
30,5,0.6,0.6,556,8.3859179
30,5,0.6,0.8,571,8.286504500000001
30,5,0.8,0.6,543,8.5054536
30,5,0.8,0.8,577,8.4543908
30,7,0.6,0.6,679,8.5470124
30,7,0.6,0.8,666,8.3847958
30,7,0.8,0.6,658,8.6885866
30,7,0.8,0.8,709,8.621829899999998
31,3,0.6,0.6,1650,5.528384600000001
31,3,0.6,0.8,1129,5.618176
31,3,0.8,0.6,1701,5.5529541
31,3,0.8,0.8,1546,5.6221907
31,5,0.6,0.6,622,5.346646499999999
31,5,0.6,0.8,928,5.4103243999999995
31,5,0.8,0.6,554,5.400120599999999
31,5,0.8,0.8,735,5.423583599999999
31,7,0.6,0.6,972,5.3803941
31,7,0.6,0.8,679,5.4449365
31,7,0.8,0.6,611,5.4620426
31,7,0.8,0.8,691,5.4722339
32,3,0.6,0.6,3845,0.5436163
32,3,0.6,0.8,2823,0.5247583
32,3,0.8,0.6,3816,0.5494458000000001
32,3,0.8,0.8,2709,0.5244121999999999
32,5,0.6,0.6,2177,0.6009358
32,5,0.6,0.8,1917,0.5634764000000001
32,5,0.8,0.6,2290,0.6039055
32,5,0.8,0.8,2054,0.5675507999999999
32,7,0.6,0.6,1614,0.6255623
32,7,0.6,0.8,1366,0.5840626
32,7,0.8,0.6,1768,0.6321942
32,7,0.8,0.8,1745,0.586233
33,3,0.6,0.6,2089,0.7554846
33,3,0.6,0.8,2397,0.7538074
33,3,0.8,0.6,4500,0.7417529
33,3,0.8,0.8,3609,0.7372952
33,5,0.6,0.6,1857,0.7759318000000001
33,5,0.6,0.8,2090,0.7665693000000001
33,5,0.8,0.6,1970,0.7695374
33,5,0.8,0.8,2208,0.7679437
33,7,0.6,0.6,1667,0.7884133
33,7,0.6,0.8,1849,0.7830565
33,7,0.8,0.6,1679,0.7863811
33,7,0.8,0.8,1657,0.7818528
34,3,0.6,0.6,1634,1.1776431
34,3,0.6,0.8,1157,1.1598813
34,3,0.8,0.6,1620,1.1847503000000001
34,3,0.8,0.8,1152,1.1908177
34,5,0.6,0.6,1271,1.2248523
34,5,0.6,0.8,1101,1.1808181000000002
34,5,0.8,0.6,1174,1.2320759000000001
34,5,0.8,0.8,1107,1.2045843
34,7,0.6,0.6,1127,1.244499
34,7,0.6,0.8,1080,1.190487
34,7,0.8,0.6,1189,1.2518654999999999
34,7,0.8,0.8,1028,1.2152398
35,3,0.6,0.6,1552,0.5782651
35,3,0.6,0.8,1168,0.561204
35,3,0.8,0.6,1559,0.5763771000000001
35,3,0.8,0.8,1168,0.5607098999999999
35,5,0.6,0.6,1110,0.6052478000000001
35,5,0.6,0.8,1047,0.5792113999999999
35,5,0.8,0.6,1167,0.6074553
35,5,0.8,0.8,954,0.5797743000000001
35,7,0.6,0.6,1105,0.6134571
35,7,0.6,0.8,1058,0.5878599
35,7,0.8,0.6,1168,0.6204103
35,7,0.8,0.8,1004,0.5923019999999999
36,3,0.6,0.6,593,1.0219488
36,3,0.6,0.8,585,1.0278931999999998
36,3,0.8,0.6,596,1.0069953999999999
36,3,0.8,0.8,592,1.0285182
36,5,0.6,0.6,593,0.9917712999999999
36,5,0.6,0.8,575,0.9916086
36,5,0.8,0.6,575,0.9970022999999999
36,5,0.8,0.8,561,0.9913465
36,7,0.6,0.6,575,0.981291
36,7,0.6,0.8,566,0.97822
36,7,0.8,0.6,575,0.9855273000000002
36,7,0.8,0.8,583,0.9739739999999999
37,3,0.6,0.6,488,5.8976799
37,3,0.6,0.8,484,6.1092889
37,3,0.8,0.6,503,5.8305733
37,3,0.8,0.8,502,5.993360299999999
37,5,0.6,0.6,551,5.6782708
37,5,0.6,0.8,577,5.471426599999999
37,5,0.8,0.6,621,5.590930599999999
37,5,0.8,0.8,583,5.4491382999999995
37,7,0.6,0.6,744,5.828692
37,7,0.6,0.8,727,5.3726871
37,7,0.8,0.6,702,5.8207838
37,7,0.8,0.8,695,5.3118184
38,3,0.6,0.6,1333,5.5480478
38,3,0.6,0.8,1183,5.056377899999999
38,3,0.8,0.6,1477,5.575251
38,3,0.8,0.8,1051,5.0061721
38,5,0.6,0.6,1112,5.3496698
38,5,0.6,0.8,799,4.8179283
38,5,0.8,0.6,815,5.4037446000000005
38,5,0.8,0.8,804,4.741981099999999
38,7,0.6,0.6,1106,5.633222699999999
38,7,0.6,0.8,779,4.8725523
38,7,0.8,0.6,950,5.6079361
38,7,0.8,0.8,839,4.8237739
39,3,0.6,0.6,1109,4.549474600000001
39,3,0.6,0.8,1055,4.233625399999999
39,3,0.8,0.6,1252,4.5777818
39,3,0.8,0.8,906,4.2326646
39,5,0.6,0.6,661,4.8293435
39,5,0.6,0.8,661,4.3419483
39,5,0.8,0.6,741,4.8028527
39,5,0.8,0.8,668,4.3660691
39,7,0.6,0.6,793,5.0315433
39,7,0.6,0.8,726,4.3497614
39,7,0.8,0.6,811,5.0698798
39,7,0.8,0.8,709,4.423625899999999
40,3,0.6,0.6,528,11.4390456
40,3,0.6,0.8,486,11.4387297
40,3,0.8,0.6,533,11.320795
40,3,0.8,0.8,499,11.365708
40,5,0.6,0.6,679,10.8550979
40,5,0.6,0.8,740,10.734916
40,5,0.8,0.6,667,10.885584099999999
40,5,0.8,0.8,669,10.7734467
40,7,0.6,0.6,851,10.963287300000001
40,7,0.6,0.8,857,10.9610083
40,7,0.8,0.6,900,10.9655886
40,7,0.8,0.8,785,11.0084761
41,3,0.6,0.6,985,5.809933200000001
41,3,0.6,0.8,796,5.7075876
41,3,0.8,0.6,915,5.9044663
41,3,0.8,0.8,723,5.7444105
41,5,0.6,0.6,714,5.846567899999999
41,5,0.6,0.8,691,5.6368952
41,5,0.8,0.6,743,5.9164827
41,5,0.8,0.8,591,5.636710000000001
41,7,0.6,0.6,787,6.0430273
41,7,0.6,0.8,796,5.593533900000001
41,7,0.8,0.6,972,6.0497914
41,7,0.8,0.8,765,5.6425307
42,3,0.6,0.6,1839,5.1036914
42,3,0.6,0.8,1072,4.7710268
42,3,0.8,0.6,2175,5.0582914
42,3,0.8,0.8,1569,4.6794809
42,5,0.6,0.6,1759,5.118885799999999
42,5,0.6,0.8,920,4.4379018
42,5,0.8,0.6,1873,5.165742
42,5,0.8,0.8,919,4.4332844
42,7,0.6,0.6,1465,5.5586827
42,7,0.6,0.8,890,4.531456399999999
42,7,0.8,0.6,1531,5.6546797
42,7,0.8,0.8,943,4.537348099999999
43,3,0.6,0.6,881,8.175384999999999
43,3,0.6,0.8,803,7.632809399999999
43,3,0.8,0.6,848,8.2326205
43,3,0.8,0.8,878,7.732099099999999
43,5,0.6,0.6,712,8.1526838
43,5,0.6,0.8,773,7.7855676
43,5,0.8,0.6,736,8.353929
43,5,0.8,0.8,711,7.844686999999999
43,7,0.6,0.6,772,8.424691900000003
43,7,0.6,0.8,773,7.8522571999999995
43,7,0.8,0.6,746,8.5662841
43,7,0.8,0.8,820,7.9215193
44,3,0.6,0.6,1515,5.8273013
44,3,0.6,0.8,1036,5.1511254
44,3,0.8,0.6,1607,5.8236927
44,3,0.8,0.8,935,5.202327500000001
44,5,0.6,0.6,714,5.8364925
44,5,0.6,0.8,768,4.9193584
44,5,0.8,0.6,770,5.8159122
44,5,0.8,0.8,703,4.9857472000000005
44,7,0.6,0.6,818,5.9600740000000005
44,7,0.6,0.8,924,4.8743327999999995
44,7,0.8,0.6,739,6.1278323
44,7,0.8,0.8,914,4.970260099999999
45,3,0.6,0.6,926,3.9922585999999995
45,3,0.6,0.8,908,4.0823914
45,3,0.8,0.6,862,4.0039404
45,3,0.8,0.8,796,4.1156022
45,5,0.6,0.6,767,4.033240999999999
45,5,0.6,0.8,758,4.161790099999999
45,5,0.8,0.6,722,4.067785499999999
45,5,0.8,0.8,770,4.1771541
45,7,0.6,0.6,973,4.0613118
45,7,0.6,0.8,814,4.1785107
45,7,0.8,0.6,939,4.1079092
45,7,0.8,0.8,1038,4.2506334
46,3,0.6,0.6,1157,6.4093344000000005
46,3,0.6,0.8,1152,6.452803
46,3,0.8,0.6,1175,6.4672624
46,3,0.8,0.8,1155,6.535659900000001
46,5,0.6,0.6,886,6.3577691
46,5,0.6,0.8,829,6.6192048
46,5,0.8,0.6,846,6.4960021
46,5,0.8,0.8,798,6.812354600000001
46,7,0.6,0.6,844,6.5430935
46,7,0.6,0.8,929,6.835141
46,7,0.8,0.6,845,6.657391799999999
46,7,0.8,0.8,829,7.056002099999999
47,3,0.6,0.6,1124,4.8043422
47,3,0.6,0.8,906,4.843484699999999
47,3,0.8,0.6,962,4.8685257
47,3,0.8,0.8,974,4.9053723
47,5,0.6,0.6,1179,4.8265803
47,5,0.6,0.8,942,4.874742599999999
47,5,0.8,0.6,1004,4.8335781
47,5,0.8,0.8,839,4.9847248
47,7,0.6,0.6,993,4.846661
47,7,0.6,0.8,1047,4.874549499999999
47,7,0.8,0.6,1001,4.8970514
47,7,0.8,0.8,1165,5.007911399999999
48,3,0.6,0.6,1464,3.3424274000000005
48,3,0.6,0.8,1366,3.3949597
48,3,0.8,0.6,1580,3.3900647
48,3,0.8,0.8,1452,3.421517599999999
48,5,0.6,0.6,1379,3.4281312
48,5,0.6,0.8,1217,3.5127182999999995
48,5,0.8,0.6,1100,3.509481100000001
48,5,0.8,0.8,1228,3.5953079000000003
48,7,0.6,0.6,1216,3.5153536
48,7,0.6,0.8,1083,3.5723600000000006
48,7,0.8,0.6,1299,3.5852644999999996
48,7,0.8,0.8,1126,3.6890906
49,3,0.6,0.6,1151,3.6243612999999995
49,3,0.6,0.8,1064,3.6132549000000003
49,3,0.8,0.6,1040,3.6559216
49,3,0.8,0.8,965,3.6241798000000003
49,5,0.6,0.6,1144,3.6823109
49,5,0.6,0.8,1011,3.6955964000000003
49,5,0.8,0.6,1070,3.7374373
49,5,0.8,0.8,1222,3.745876
49,7,0.6,0.6,1151,3.7272152
49,7,0.6,0.8,1064,3.7286158
49,7,0.8,0.6,1242,3.790323
49,7,0.8,0.8,1096,3.8066733
50,3,0.6,0.6,1769,3.7560224
50,3,0.6,0.8,1551,3.7806635999999996
50,3,0.8,0.6,1683,3.8217391999999997
50,3,0.8,0.8,1254,3.8448186
50,5,0.6,0.6,1171,3.9067641
50,5,0.6,0.8,1192,3.9858025999999995
50,5,0.8,0.6,1157,3.9664406
50,5,0.8,0.8,1036,4.006275199999999
50,7,0.6,0.6,1136,4.0062163
50,7,0.6,0.8,1092,4.0652625
50,7,0.8,0.6,1160,4.051800500000001
50,7,0.8,0.8,1099,4.130831000000001
51,3,0.6,0.6,882,5.011112799999999
51,3,0.6,0.8,882,4.9615613000000005
